playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"497218","null","Trindon Holliday","WR","FA","WR","FA","null","0","null","null","475","781","null","null","0","null","null","null","0","0","null","null",
"497224","null","Ed Dickson","TE","CAR","TE","CAR","null","2.5722","null","null","294","294","null","null","0.0578","null","null","null","3.0041","1.58","4.8284","null",
"497226","null","Jim Dray","TE","CLE","TE","CLE","null","1.3015","null","null","336","336","null","null","0.117","null","null","null","2.0963","0.3534","1.9254","null",
"497234","null","Garrett Graham","TE","HOU","TE","HOU","null","3.6897","null","null","253","253","null","null","0.1859","null","null","null","4.2749","3","3.5831","null",
"497236","null","Jimmy Graham","TE","SEA","TE","SEA","null","9.389","null","null","96","96","null","null","0.5437","null","null","null","12.5078","6.83","9.0002","null",
"497238","null","Jermaine Gresham","TE","ARI","TE","ARI","null","3.0088","null","null","278","278","null","null","0.1935","null","null","null","3.2714","2.2099","4.7184","null",
"497240","null","Rob Gronkowski","TE","NE","TE","NE","null","14.8695","null","null","38","38","null","null","3.7853","null","null","null","17.6187","11.61","8.8647","null",
"497242","null","Clay Harbor","TE","JAC","TE","JAC","null","1.1265","null","null","342","342","null","null","0.0188","null","null","null","2.4573","0.2","3.9773","null",
"497246","null","Michael Hoomanawanui","TE","NO","TE","NO","null","0.7209","null","null","381","381","null","null","0.0934","null","null","null","1.515","0","3.6692","null",
"497250","null","Anthony McCoy","TE","WAS","TE","WAS","null","0.7047","null","null","382","382","null","null","0.1654","null","null","null","1.1701","0.04","3.9895","null",
"497254","null","Dennis Pitta","TE","BAL","TE","BAL","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"497256","null","Tony Moeaki","TE","ATL","TE","ATL","null","0.8534","null","null","368","368","null","null","0.041","null","null","null","1.6459","0","2.1625","null",
"497258","null","Andrew Quarless","TE","GB","TE","GB","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"497260","null","Seyi Ajirotutu","WR","PHI","WR","PHI","null","0.1413","null","null","451","451","null","null","0.0192","null","null","null","0.3035","0","6.8055","null",
"497270","null","Arrelious Benn","WR","JAC","WR","JAC","null","0","null","null","475","781","null","null","0","null","null","null","0","0","null","null",
"497282","null","Riley Cooper","WR","PHI","WR","PHI","null","5.4696","null","null","211","211","null","null","0.0834","null","null","null","6.4508","2.7584","4.3813","null",
"497284","null","Eric Decker","WR","NYJ","WR","NYJ","null","11.4042","null","null","67","67","null","null","0.2098","null","null","null","15.5597","8.663","6.4053","null",
"497286","null","Marcus Easley","WR","BUF","WR","BUF","null","0.1439","null","null","450","450","null","null","0.0083","null","null","null","0.2527","0","7.0452","null",
"497288","null","Jacoby Ford","WR","FA","WR","FA","null","0","null","null","475","781","null","null","0","null","null","null","0","0","null","null",
