playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
100023,null,Giants,DST,NYG,DST,NYG,null,4.4771,null,null,264,264,null,null,0.2561,null,null,null,5.2598,0.4136,7.5072,null
100024,null,Jets,DST,NYJ,DST,NYJ,null,8.175,null,null,147,147,null,null,0.2084,null,null,null,8.8284,6.8142,6.9616,null
100025,null,Eagles,DST,PHI,DST,PHI,null,7.5058,null,null,167,167,null,null,0.189,null,null,null,7.7903,6,6.6703,null
100026,null,Cardinals,DST,ARI,DST,ARI,null,6.7061,null,null,194,194,null,null,0.1745,null,null,null,7.7751,4.2454,1.3139,null
100027,null,Steelers,DST,PIT,DST,PIT,null,4.0307,null,null,289,289,null,null,null,null,null,null,4.968,2.1561,4.929,null
100028,null,Chargers,DST,SD,DST,SD,null,5.6963,null,null,230,230,null,null,0.959,null,null,null,7.058,3.8798,3.8622,null
100029,null,49ers,DST,SF,DST,SF,null,7.1387,null,null,181,181,null,null,0.3348,null,null,null,9.0469,3.9488,4.8555,null
100030,null,Seahawks,DST,SEA,DST,SEA,null,9.6977,null,null,113,113,null,null,1.1892,null,null,null,10.8785,6.7836,6.5647,null
100031,null,Buccaneers,DST,TB,DST,TB,null,7.6187,null,null,165,165,null,null,0.1845,null,null,null,8.5824,3.8923,4.672,null
100032,null,Redskins,DST,WAS,DST,WAS,null,6.2801,null,null,213,213,null,null,0.3126,null,null,null,6.6704,4.4651,6.0778,null
163982,null,Will Johnson,RB,FA,RB,FA,null,2.4972,null,null,343,343,null,null,0.2915,null,null,null,3.8625,0.9,7.2812,null
238445,null,Frank Summers,RB,FA,RB,FA,null,0,null,null,543,875,null,null,0,null,null,null,0,0,null,null
238457,null,Zach Miller,TE,CHI,TE,CHI,null,0.5459,null,null,464,464,null,null,0.0574,null,null,null,0.7317,0.15,6.0166,null
238498,null,Julian Edelman,WR,NE,WR,NE,null,14.464,null,null,45,45,null,null,0.318,null,null,null,17.0887,11.9003,4.8089,null
496812,null,Erik Lorig,RB,FA,RB,FA,null,0,null,null,543,875,null,null,0,null,null,null,0,0,null,null
497095,null,Sam Bradford,QB,PHI,QB,PHI,null,18.6999,null,null,12,12,null,null,0.2466,null,null,null,19.6182,16.946,4.838,null
